name,lat,lon,imgurl,other
Masjid Tempat Ibadah,-2.540905,112.951015,http://lh5.ggpht.com/G9K9jTd8W8rf0b_oBiG_HXWHdoqaDBAZaYjdW3dX5clNI5TDdq91xyojAxy_mJoFJzy3vMIMYqq8HtktuIE,c835abd34e8f43a4b1a70ffe4b0cae80.16
Mesjid Agung Al-falah,-2.538897,112.953218,http://lh3.ggpht.com/oaKeihDDq3_yscUTXw07Jt3u-4iO72Z4ms8J1XmJwi0lFeXTnc3Xl1V3UdgtAbNxcazbz1kSij1QHPG1Unw,e84cd5a04f5849b4ad0889406d6630c8.16
Masjid ReL,-2.536413,112.951624,http://lh3.ggpht.com/AaN2A04hcZ0jjHfKzfgl6LGj5uDbp0sVj931Jb3uJwMbUOfkAWbiigXX_y7uKzE5YLRiRO0Y0vqmjg5WxxJ6,44d62303b8f94b599f15691c8b6fdba7.16
Jamiatul Islamiyah Mosque,-2.537961,112.956783,http://lh3.googleusercontent.com/H9LapXMww-eDIsA4y31OMiS7GkmIXrdFP1ZVjMYVD3okAY0nt9UHcO8o_3ImMZclWG63XgiHedlPwGryuGuRtg,9340fc08f27f43ba933426fa5d1b5a88.16
Relief Jesus,-2.538423,112.962711,http://lh6.ggpht.com/D_ffMTpjRSIVNa7yybUhcfbwGM0kDzy8pviHlvodjjdhuYCS-swHdmtHjyv0zMxV8lrOSI2Y8KdtXVSH8q_G,25ec1bcc9aab4055ac1fdd55a462c951.16
Keluarga Berencana Statue,-2.532337,112.964183,http://lh4.ggpht.com/KHz96sNaZoW9XBfLUmY5NL7kuP9PV_sTMnCedrYQ-hN0jeYXa-zoNomB3vPn3roqsAvhKyTk9phmPzROBCMB,ebb8363a273c451c84f17a95499d92c5.16
Tower Mesjid,-2.539678,112.964082,http://lh6.ggpht.com/QJljQX6wDvTzi9kL_Wh5aj8YbiIoPO6ZjPCw4QIr-2XNsav4t5rFzlKAKaNozmKw80MCtwwJavif9v26zprI,d1366cc024924966b95c8f63d32f0c45.16
Angel Statue,-2.538269,112.962107,http://lh3.ggpht.com/I7JVEeQp4mgqbrFswmzk0bRlYnKyJkDrBg8p3zCgKvrn0cgTylOzQYn2Ash8XLqRzRhO92zpeMCMLwwh11JMvw,32394d4ebe604b24819d714263720f97.16
Tugu Pelabuhan,-2.539355,112.964221,http://lh5.ggpht.com/jSZXPxN2VOhr-Ha3V9-C6TeHf6F4_MXJmwBejtPC9ZFK-nu2Slp3_xJZOedt0WA2MrzBWDnz2-Q9XJlDt5o,d0cefa8019784b458098a9b04ed627b5.16
Fish Statue at Kpoeng Oelin,-2.534958,112.964801,http://lh5.ggpht.com/LK2949nMwkva_EyXunievNAV-9DcD5x3IfuFWcry1g_6iTdi4LgrikQvekmF4xLh-kq3mIaDCAgRoi0bB4PxRA,98483086dfb7426397b74edd535182b7.16
